complaint_text,category,subcategory,department,urgency
Lamp post cracked in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Clogged drain near MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Waste lying unattended in Sanjay Nagar,Sanitation,Garbage,Municipal Sanitation Department,Low
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
Damaged lane surface near Sanjay Nagar,Road,Potholes,Public Works Department,Low
Broken pipeline flooding Civil Lines,Water,Leakage,Water Supply Department,High
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Underground pipe burst at Sanjay Nagar,Water,Leakage,Water Supply Department,Medium
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Low
Power outage reported in Sector 15,Electricity,PowerCut,Electricity Distribution Department,Medium
Damaged street surface near Rajiv Chowk,Road,Potholes,Public Works Department,Low
Lamp post broken in Sector 15,Electricity,Streetlight,Municipal Lighting Department,Low
Large potholes on Sector 15 highway,Road,Potholes,Public Works Department,Low
Lamp post damaged in Old Market,Electricity,Streetlight,Municipal Lighting Department,Low
Defective traffic signal in Sanjay Nagar,Road,TrafficSignal,Traffic Management Department,Medium
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Traffic signal not working at MG Road,Road,TrafficSignal,Traffic Management Department,High
Signal faulty at Sector 15 junction,Road,TrafficSignal,Traffic Management Department,High
Large potholes on Sector 15 lane,Road,Potholes,Public Works Department,Medium
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Red light not functioning in Civil Lines,Road,TrafficSignal,Traffic Management Department,High
Loose electrical cables in MG Road,Electricity,Wiring,Electrical Safety Department,High
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,High
Unsafe sidewalk at Old Market,Road,Footpath,Urban Development Department,Low
Signal faulty at Civil Lines junction,Road,TrafficSignal,Traffic Management Department,Medium
Signal damaged at Old Market junction,Road,TrafficSignal,Traffic Management Department,High
Loose electrical cables in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Broken footpath in Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Signal broken at MG Road junction,Road,TrafficSignal,Traffic Management Department,Medium
Garbage not collected at Old Market for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Broken electric wires lying in Old Market,Electricity,Wiring,Electrical Safety Department,High
Underground pipe burst at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,Medium
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,Medium
Large potholes on Sector 15 lane,Road,Potholes,Public Works Department,Medium
Signal damaged at Rajiv Chowk junction,Road,TrafficSignal,Traffic Management Department,High
Overflowing dustbins in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Foul smell from toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Garbage not collected at Civil Lines for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Sewage water overflowing at MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Medium
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,High
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Low
Broken public restroom at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Medium
Dirty tap water with foul smell in Rajiv Chowk,Water,Quality,Water Quality Department,Medium
Pipeline leaking on street at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Traffic signal not working at MG Road,Road,TrafficSignal,Traffic Management Department,High
Rainwater accumulation at MG Road,Water,Waterlogging,Drainage Department,Medium
Foul smell from toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Medium
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Multiple potholes in Rajiv Chowk,Road,Potholes,Public Works Department,Low
Signal faulty at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,High
Defective traffic signal in MG Road,Road,TrafficSignal,Traffic Management Department,High
Trash scattered around Sanjay Nagar,Sanitation,Garbage,Municipal Sanitation Department,Low
Power outage reported in Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,Medium
Damaged highway surface near Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Uneven road causing accidents at Sector 15,Road,Potholes,Public Works Department,Medium
Broken electric wires lying in Old Market,Electricity,Wiring,Electrical Safety Department,High
Overflowing dustbins in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Broken public restroom at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Low
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Low
Exposed live wire near Old Market,Electricity,Wiring,Electrical Safety Department,High
Overflowing dustbins in Sector 15,Sanitation,Garbage,Municipal Sanitation Department,Medium
Multiple potholes in Sanjay Nagar,Road,Potholes,Public Works Department,Low
Trash scattered around Sector 15,Sanitation,Garbage,Municipal Sanitation Department,Low
Complete blackout at Sector 15,Electricity,PowerCut,Electricity Distribution Department,High
Severe water leakage in Old Market,Water,Leakage,Water Supply Department,Medium
Signal damaged at Rajiv Chowk junction,Road,TrafficSignal,Traffic Management Department,High
Red light not functioning in MG Road,Road,TrafficSignal,Traffic Management Department,High
Underground pipe burst at Sanjay Nagar,Water,Leakage,Water Supply Department,Medium
Uneven lane causing accidents at Civil Lines,Road,Potholes,Public Works Department,Low
Pipeline leaking on street at Civil Lines,Water,Leakage,Water Supply Department,High
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Low
Overflowing dustbins in Old Market,Sanitation,Garbage,Municipal Sanitation Department,Low
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Flickering light pole at Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Low
Unsafe sidewalk at Sector 15,Road,Footpath,Urban Development Department,Low
Street flooded near Old Market,Water,Waterlogging,Drainage Department,Low
Broken electric wires lying in MG Road,Electricity,Wiring,Electrical Safety Department,High
Exposed live wire near Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
No electricity supply since morning in Old Market,Electricity,PowerCut,Electricity Distribution Department,Medium
Trash scattered around Civil Lines,Sanitation,Garbage,Municipal Sanitation Department,Low
No proper pavement in Old Market,Road,Footpath,Urban Development Department,Low
Streetlight not working at Sector 15,Electricity,Streetlight,Municipal Lighting Department,Medium
Sewage water overflowing at Sector 15,Sanitation,Sewage,Drainage and Sewerage Department,High
Defective traffic signal in MG Road,Road,TrafficSignal,Traffic Management Department,High
Lamp post faulty in Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Low
Broken pipeline flooding Sector 15,Water,Leakage,Water Supply Department,High
Large potholes on MG Road street,Road,Potholes,Public Works Department,Low
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Red light not functioning in MG Road,Road,TrafficSignal,Traffic Management Department,High
Dirty tap water with foul smell in Rajiv Chowk,Water,Quality,Water Quality Department,High
Clogged drain near MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Broken electric wires lying in MG Road,Electricity,Wiring,Electrical Safety Department,High
Dark area due to faulty streetlights at Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Power outage reported in Sanjay Nagar,Electricity,PowerCut,Electricity Distribution Department,High
Garbage not collected at Civil Lines for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Public toilet in Sector 15 not cleaned,Sanitation,PublicToilet,Public Health Department,Medium
Flickering light pole at Sector 15,Electricity,Streetlight,Municipal Lighting Department,Low
Pipeline leaking on highway at Sector 15,Water,Leakage,Water Supply Department,High
Large potholes on Civil Lines highway,Road,Potholes,Public Works Department,Medium
Contaminated water from taps at Sanjay Nagar,Water,Quality,Water Quality Department,Medium
Streetlight not working at Old Market,Electricity,Streetlight,Municipal Lighting Department,Low
Clogged drain near Old Market,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Complete blackout at MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Rainwater accumulation at Old Market,Water,Waterlogging,Drainage Department,Low
Dangerous hanging wires at Civil Lines,Electricity,Wiring,Electrical Safety Department,High
Power outage reported in Sanjay Nagar,Electricity,PowerCut,Electricity Distribution Department,High
Brown water supply in Sector 15,Water,Quality,Water Quality Department,Medium
Exposed live wire near MG Road,Electricity,Wiring,Electrical Safety Department,High
Dirty tap water with foul smell in Civil Lines,Water,Quality,Water Quality Department,High
No electricity supply since morning in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Broken pipeline flooding Rajiv Chowk,Water,Leakage,Water Supply Department,High
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Large potholes on Old Market street,Road,Potholes,Public Works Department,Medium
Drain blocked and water pooling at Civil Lines,Water,Waterlogging,Drainage Department,Medium
Open sewage causing bad smell in Civil Lines,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Broken footpath in MG Road,Road,Footpath,Urban Development Department,Low
Uneven highway causing accidents at MG Road,Road,Potholes,Public Works Department,Low
Rainwater accumulation at MG Road,Water,Waterlogging,Drainage Department,Medium
Signal faulty at Old Market junction,Road,TrafficSignal,Traffic Management Department,High
Traffic signal not working at Sanjay Nagar,Road,TrafficSignal,Traffic Management Department,Medium
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,High
No electricity supply since morning in Civil Lines,Electricity,PowerCut,Electricity Distribution Department,High
Large potholes on Sanjay Nagar street,Road,Potholes,Public Works Department,Medium
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
No water in public toilet at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Pipeline leaking on lane at MG Road,Water,Leakage,Water Supply Department,High
Trash scattered around Old Market,Sanitation,Garbage,Municipal Sanitation Department,Medium
Brown water supply in Sanjay Nagar,Water,Quality,Water Quality Department,High
Lamp post faulty in Sector 15,Electricity,Streetlight,Municipal Lighting Department,Low
Rainwater accumulation at MG Road,Water,Waterlogging,Drainage Department,Medium
Signal broken at Civil Lines junction,Road,TrafficSignal,Traffic Management Department,Medium
Waterlogging after heavy rain in Sanjay Nagar,Water,Waterlogging,Drainage Department,Low
No electricity supply since morning in Civil Lines,Electricity,PowerCut,Electricity Distribution Department,High
